id	title	artist	album	fans	preview	release_date	genre
908604612	Blinding Lights	The Weeknd	After Hours	155922	https://cdns-preview-0.dzcdn.net/stream/c-0cb3c26f5c0be8b37d90560955431118-8.mp3	2020-03-20	R&B
727924692	Dance Monkey	Tones and I	Dance Monkey	53398	https://cdns-preview-a.dzcdn.net/stream/c-afc87c284ff12b8a80947bbce13b408b-5.mp3	2019-08-08	Альтернативная музыка
1191704612	Венера-Юпитер	Ваня Дмитриенко	Венера-Юпитер	483	https://cdns-preview-d.dzcdn.net/stream/c-d2d4b9905344e7f15167188423077fc7-3.mp3	2021-01-01	Поп
1087667882	The Business	Tiësto	The Business	4067	https://cdns-preview-7.dzcdn.net/stream/c-702427570b652045b35d16fc628bdf2e-3.mp3	2020-09-25	Танцевальная музыка
708907602	Ride It	Regard	Ride It	11413	https://cdns-preview-f.dzcdn.net/stream/c-fde64f262a06f8958b41e74dddb61e0b-5.mp3	2019-07-26	Танцевальная музыка
1197901592	Astronaut In The Ocean	Masked Wolf	Astronaut In The Ocean	12606	https://cdns-preview-3.dzcdn.net/stream/c-33ed91a93d2ce982fa034488b9d5ab6d-3.mp3	2021-01-06	Rap/Hip Hop
1062485892	Если тебе будет грустно	Rauf & Faik	Если тебе будет грустно	1500	https://cdns-preview-b.dzcdn.net/stream/c-bf04f5556a81546affb00d028c11e9ab-3.mp3	2020-09-03	Поп
655095912	bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	421458	https://cdns-preview-b.dzcdn.net/stream/c-be6c763188230b2bdd6c97ec5badb09e-6.mp3	2019-03-29	Альтернативная музыка
978210452	Краш	Клава Кока	Краш	1368	https://cdns-preview-a.dzcdn.net/stream/c-a3b7443610ae32f24de91d60df4eaf70-3.mp3	2020-06-10	Поп
753387942	Roses (Imanbek Remix)	SAINt JHN	Roses (Imanbek Remix)	816	https://cdns-preview-8.dzcdn.net/stream/c-8794c7708991257facc70497a03f6aad-5.mp3	2019-05-04	Танцевальная музыка
1111629772	Многоточия	Zivert	Многоточия	196	https://cdns-preview-b.dzcdn.net/stream/c-b63f2bbc7163e8c4fc9ecd1800b94d7f-3.mp3	2020-10-16	Поп
971830452	Поболело и прошло	Hensy	Поболело и прошло	535	https://cdns-preview-7.dzcdn.net/stream/c-706d50e732c3ec3eb9e355a7704b2e9f-4.mp3	2020-05-26	Поп
1030971202	По щекам слёзы	КУЧЕР	По щекам слёзы	188	https://cdns-preview-3.dzcdn.net/stream/c-3dcaab476ec9a5eabb9dcbcc11c46408-3.mp3	2020-07-16	Поп
949342392	Lovefool	twocolors	Lovefool	1358	https://cdns-preview-b.dzcdn.net/stream/c-bd23b2e4b9426fbc934b49f3c58b8789-7.mp3	2020-05-08	Танцевальная музыка
1017107102	Сияй	Ramil'	Сияй	916	https://cdns-preview-e.dzcdn.net/stream/c-ea90b175fa767bd29bdc013b13bb5711-3.mp3	2020-07-10	Поп
1099652622	Снова я напиваюсь	Slava Marlow	Снова я напиваюсь	891	https://cdns-preview-4.dzcdn.net/stream/c-462138c95e7b9f103d0a7b0a68689bab-3.mp3	2020-10-07	Поп
1145749952	Ягода малинка	Хабиб	Ягода малинка	403	https://cdns-preview-f.dzcdn.net/stream/c-f70afba5a9a6c4ec4f6a2ecd09933638-3.mp3	2020-11-17	Поп
867475022	Девочка танцуй	Artik & Asti	7 (Part 2)	1516	https://cdns-preview-1.dzcdn.net/stream/c-16c47bc4ceda2ac17cc877861499d1cc-5.mp3	2020-02-07	Поп
592088522	Life	Zivert	Life	3437	https://cdns-preview-0.dzcdn.net/stream/c-0178f1d67ba0c3ee38d60f67f4535bb2-5.mp3	2018-11-30	Поп
969467292	Fly 2	Zivert	Fly 2	702	https://cdns-preview-3.dzcdn.net/stream/c-355eac9d69808836846c1da30ff71206-3.mp3	2020-05-22	Поп
650195812	Кукла колдуна	Король и Шут	Акустический альбом	1118	https://cdns-preview-3.dzcdn.net/stream/c-3c6d63a748c0ce386f4483f19540c7e9-3.mp3	2019-03-18	Рок
923408512	Плачу на техно	Cream Soda	Плачу на техно	575	https://cdns-preview-5.dzcdn.net/stream/c-56df03a7d072fc53a4da981929399a80-5.mp3	2020-04-10	Поп
1037814852	неболей	Баста	неболей	1134	https://cdns-preview-4.dzcdn.net/stream/c-415200ce18d5d6e259896b27476af652-3.mp3	2020-08-07	Поп
1120361182	Fever	Dua Lipa	Fever	30305	https://cdns-preview-0.dzcdn.net/stream/c-076909ce090848c79a61278ca8969408-3.mp3	2020-10-29	Танцевальная музыка
1148068362	gorit	DOROFEEVA	gorit	260	https://cdns-preview-4.dzcdn.net/stream/c-4c28b3c89c18ad16da3c6ab9769279e1-4.mp3	2020-11-20	Поп
1250028732	ТЫ ГОРИШЬ КАК ОГОНЬ	Slava Marlow	ТЫ ГОРИШЬ КАК ОГОНЬ	348	https://cdns-preview-0.dzcdn.net/stream/c-0bca372e77b52bdeeb9b2847d7adf161-3.mp3	2021-02-19	Rap/Hip Hop
136334560	Losing My Religion	R.E.M.	Out Of Time	28117	https://cdns-preview-c.dzcdn.net/stream/c-c529aa2f5a6fe7bd6579648bf885dfb8-6.mp3	2016-11-18	Рок
579892872	Natural	Imagine Dragons	Origins (Deluxe)	173737	https://cdns-preview-3.dzcdn.net/stream/c-38634ba7ae0c34061c40e7c7e5605eb5-9.mp3	2018-11-09	Альтернативная музыка
1056123972	Втюрилась	дора	Втюрилась	270	https://cdns-preview-2.dzcdn.net/stream/c-263ed377a52fc45554a4929c7d0c91d4-3.mp3	2020-08-27	Поп
831917182	Breaking Me	Topic	Breaking Me	8637	https://cdns-preview-8.dzcdn.net/stream/c-85f2dd7f4e7a963a0e83a97458aea8d5-6.mp3	2019-12-19	Танцевальная музыка
897995882	Intihask	Hafex	Intihask	130	https://cdns-preview-a.dzcdn.net/stream/c-abcb190fa1d34dca9c5d3e46d65e0b47-5.mp3	2019-01-24	Танцевальная музыка
754377762	Комета	Jony	Комета	1990	https://cdns-preview-e.dzcdn.net/stream/c-e7e3f5d4888598470d90cfc6d4170f14-6.mp3	2019-09-18	Поп
830336922	Watermelon Sugar	Harry Styles	Fine Line	137894	https://cdns-preview-1.dzcdn.net/stream/c-1dad0ee9a3cc34130171fea60b07cdd7-7.mp3	2019-12-13	Поп
1031567822	Deep End	Foushee	Deep End	4033	https://cdns-preview-3.dzcdn.net/stream/c-36139e2f7a70fef7e02053ba867931f0-3.mp3	2020-07-31	R&B
5652656	Zombie	The Cranberries	No Need To Argue	32669	https://cdns-preview-1.dzcdn.net/stream/c-12f506837f0636cd928e00835dd21ec7-8.mp3	2014-07-08	Рок
862051992	Physical	Dua Lipa	Physical	12340	https://cdns-preview-f.dzcdn.net/stream/c-f2cd5cfc937e441041e33598be7e7799-5.mp3	2020-01-30	Поп
954896392	Юность	Dabro	Юность	581	https://cdns-preview-3.dzcdn.net/stream/c-31dece13725f9ec26c2f17cd876279c6-2.mp3	2020-05-15	Поп
993476232	А если это любовь?	HammAli & Navai	А если это любовь?	855	https://cdns-preview-f.dzcdn.net/stream/c-f3442940ff89b1ba801eb3bb1e1e2463-3.mp3	2020-06-23	Rap/Hip Hop
803010392	everything i wanted	Billie Eilish	everything i wanted	58893	https://cdns-preview-5.dzcdn.net/stream/c-595dad24a42df6f1678cf26a56db71b1-7.mp3	2019-11-14	Альтернативная музыка
371593461	Feel It Still	Portugal. The Man	Woodstock	29447	https://cdns-preview-9.dzcdn.net/stream/c-9af845ac72a218ada52423beda743996-7.mp3	2017-06-16	Альтернативная музыка
1030835892	F..k That	Bastard!	F..k That	203	https://cdns-preview-e.dzcdn.net/stream/c-e83abd3f1508e99f85b1585c7086e447-3.mp3	2020-07-10	Танцевальная музыка
1256451242	пальто	Земфира	бордерлайн	2645	https://cdns-preview-8.dzcdn.net/stream/c-8b9b7acb05ac78d82240e8352fd4d9da-3.mp3	2021-02-26	Рок
989610392	Двигаться	RaiM	O2	86	https://cdns-preview-c.dzcdn.net/stream/c-c1cd79a34f5f01d1feb240c9b9eb23d4-3.mp3	2018-11-30	Rap/Hip Hop
1271070072	Follow You	Imagine Dragons	Follow You / Cutthroat	4044	https://cdns-preview-5.dzcdn.net/stream/c-51dc1f704920c8930e0b329371c4080b-4.mp3	2021-03-12	Альтернативная музыка
908604632	Save Your Tears	The Weeknd	After Hours	155922	https://cdns-preview-3.dzcdn.net/stream/c-31bb797f043b544baa792ccf827e5cd8-8.mp3	2020-03-20	R&B
3129407	Feel Good Inc.	Gorillaz	Demon Days	174148	https://cdns-preview-8.dzcdn.net/stream/c-88e048997f12d2e0ee67589307270507-8.mp3	2005-05-23	Rap/Hip Hop
1272765662	Истеричка	Artik & Asti	Миллениум	159	https://cdns-preview-4.dzcdn.net/stream/c-49bb83ecaedfe952004c9a6b2710b446-3.mp3	2021-03-11	Поп
654776102	Грустный дэнс (feat. Артем Качер)	Artik & Asti	7 (Part 1)	2197	https://cdns-preview-9.dzcdn.net/stream/c-94d6fdf770798089bb1bbda38884d9f8-5.mp3	2019-03-29	Поп
932661672	ROCKSTAR	DaBaby	BLAME IT ON BABY	19829	https://cdns-preview-1.dzcdn.net/stream/c-1afe80e99f64107a65a730966f301ed1-6.mp3	2020-04-17	Rap/Hip Hop
13791930	Smells Like Teen Spirit	Nirvana	Nevermind (Remastered)	229340	https://cdns-preview-3.dzcdn.net/stream/c-358eb79e55e30b4719d976e15d41e230-8.mp3	2011-09-26	Рок
905171302	Август	Intelligency	Renovatio	482	https://cdns-preview-d.dzcdn.net/stream/c-def6d4768cac39c92ae284c739f69f9a-5.mp3	2020-03-19	Поп
1043593232	БЕГИ feat. Poët	Dj Smash	БЕГИ feat. Poët	196	https://cdns-preview-c.dzcdn.net/stream/c-c5baf61bc61e29ea981583ed59a9cc4c-4.mp3	2020-08-05	Поп
678687242	DEUTSCHLAND	Rammstein	RAMMSTEIN	111735	https://cdns-preview-e.dzcdn.net/stream/c-e69cb97ad100363fac3d9158d73a87ea-11.mp3	2019-05-17	Рок
1225903912	Моя голова винтом (My head is spinning like a screw)	kostromin	Моя голова винтом (My head is spinning like a screw)	811	https://cdns-preview-a.dzcdn.net/stream/c-a2885db11fae2027e284b905690b0048-3.mp3	2021-02-02	Поп
879112402	ЯТЛ	Zivert	ЯТЛ	868	https://cdns-preview-4.dzcdn.net/stream/c-4c0be3a286fc767adae89a6d20d22a89-6.mp3	2020-02-14	Поп
949515792	Колыбельная медведицы (Из м/ф "Умка")	Аида Ведищева	Баюшки-баю. Выпуск 1	14	https://cdns-preview-e.dzcdn.net/stream/c-ef28ab31f5b41f3ee02a27f8bbce232b-2.mp3	2009-01-01	Детская музыка
136889434	I Feel It Coming	The Weeknd	Starboy	333047	https://cdns-preview-2.dzcdn.net/stream/c-2ba5ff904acf081109f000c56b37562f-6.mp3	2016-11-18	R&B
1073622232	Дико тусим	Даня Милохин	Дико тусим	517	https://cdns-preview-c.dzcdn.net/stream/c-c40b04cdbec07db48fb2a006f411259c-3.mp3	2020-09-17	Поп
1097556642	Костёр	Hensy	Костёр	238	https://cdns-preview-2.dzcdn.net/stream/c-2f0f869109e297d64f1745f2a1534d90-3.mp3	2020-10-12	Поп
1034927542	A Million On My Soul (Remix)	Moses	A Million On My Soul (Remix)	129	https://cdns-preview-2.dzcdn.net/stream/c-29fdd0684a83da3706d68929755755eb-3.mp3	2020-07-28	Танцевальная музыка
1006845912	Head & Heart (feat. MNEK)	Joel Corry	Head & Heart (feat. MNEK)	4135	https://cdns-preview-c.dzcdn.net/stream/c-c2843296212fd7e10faa4818f5297ded-3.mp3	2020-07-03	Танцевальная музыка
1000693792	Lollipop	Gafur	Калейдоскоп	420	https://cdns-preview-2.dzcdn.net/stream/c-2a0df5b21b6850f55df5bb83c8e8f17e-3.mp3	2020-07-10	Поп
1208286352	Горький вкус	Султан Лагучев	Горький вкус	424	https://cdns-preview-a.dzcdn.net/stream/c-a751feca71caf220936ea29eeca04328-3.mp3	2021-01-20	Поп
1166784692	Когда нас понесут	Trueтень	Бумажные кореша	90	https://cdns-preview-f.dzcdn.net/stream/c-f7fdf852d3f64b60727276fdf91acba6-3.mp3	2020-12-04	
670276422	Любимка	NILETTO	Любимка	955	https://cdns-preview-5.dzcdn.net/stream/c-560d1e6707b32939e195a4261814125f-5.mp3	2019-05-03	Поп
561836	Sweet Dreams (Are Made of This) (Remastered)	Eurythmics	Sweet Dreams (Are Made Of This)	21229	https://cdns-preview-7.dzcdn.net/stream/c-7a29ac8f41e96136fe43d146a25cf74d-7.mp3	2003-10-21	Поп
1142819652	Time Is Fleeting	Rave Stone	Time Is Fleeting	3	https://cdns-preview-a.dzcdn.net/stream/c-a822e4cbc664e79f266bc7d2c770430c-3.mp3	2020-11-15	Рок
1081048202	СЛЁЗЫ (OST "Пацанки")	Анет Сай	СЛЁЗЫ (OST "Пацанки")	135	https://cdns-preview-b.dzcdn.net/stream/c-be66b2098f9e287e6f520edbdbb8aaf1-3.mp3	2020-09-22	Поп
1252679102	Быстро	Colorit	Быстро	15	https://cdns-preview-6.dzcdn.net/stream/c-649588f415a2e3bdcc1e75cd9f566285-3.mp3	2021-02-22	Поп
1180071292	2 Phút Hơn (KAIZ Remix)	Phao	2 Phút Hơn (KAIZ Remix)	530	https://cdns-preview-3.dzcdn.net/stream/c-38ef8943cedfe88f56e2158486256d39-3.mp3	2020-12-18	Танцевальная музыка
491201142	Хочу перемен	Кино	Легенда	8701	https://cdns-preview-5.dzcdn.net/stream/c-51869bfc12418857328a900378659d4c-5.mp3	2018-04-24	Рок
1264695472	Родной	Loboda	Родной	137	https://cdns-preview-6.dzcdn.net/stream/c-6c4caf2e6aa873c85cd21227aa96c5c0-3.mp3	2021-03-05	Поп
488965472	ПЛАКАЛА	KAZKA	KARMA	3727	https://cdns-preview-1.dzcdn.net/stream/c-1656a0027eeec6245c6ac73ee9d8a50e-5.mp3	2018-04-27	Поп
1139698362	El Problema	Тимати	Транзит	439	https://cdns-preview-3.dzcdn.net/stream/c-3fd2c2113587f26ab507ac85705b7958-3.mp3	2020-11-13	Rap/Hip Hop
118155502	Владивосток 2000	Мумий Тролль	Mumiy Troll - The Best	2610	https://cdns-preview-e.dzcdn.net/stream/c-ed2ea6a2f29e46b386cf2916135fa5cc-6.mp3	2014-04-16	Рок
576851222	Djadja	Aya Nakamura	NAKAMURA	277936	https://cdns-preview-8.dzcdn.net/stream/c-879bb3b22cad39e80b5edf4d4d74c650-5.mp3	2018-11-02	R&B
676183	In the End	Linkin Park	Hybrid Theory (Bonus Edition)	294525	https://cdns-preview-1.dzcdn.net/stream/c-179888dacdd6a28871ead1caebf86c79-6.mp3	2000-10-24	Альтернативная музыка
15646913	Eye of the Tiger	Survivor	Eye Of The Tiger	1937	https://cdns-preview-1.dzcdn.net/stream/c-157fa09e88b03348ba00ed6e61d248e6-5.mp3	1991-01-01	Рок
858560802	Одуванчик	Тима Белорусских	Моя кассета - твой первый диск	1274	https://cdns-preview-b.dzcdn.net/stream/c-bfe664d419abf2cfa953e3e3a1902232-5.mp3	2020-01-31	Поп
1226753152	Ратата	Konfuz	Ратата	3289	https://cdns-preview-1.dzcdn.net/stream/c-1db571bb7f1db4fdea2db35be7801063-3.mp3	2021-01-29	Поп
2114399	Enter Sandman	Metallica	Metallica	188734	https://cdns-preview-9.dzcdn.net/stream/c-92d5bbb148445d41dc7be319744f1691-6.mp3	2008-08-18	Поп
813992572	Лей не жалей	Макс Барских	Лей не жалей	254	https://cdns-preview-e.dzcdn.net/stream/c-e75bde26a89b0c36fe9d89e1f05c95f6-4.mp3	2019-11-22	Поп
739241032	Beverly Hills	Zivert	Vinyl #1	2834	https://cdns-preview-a.dzcdn.net/stream/c-a334c7ea04c402d970cce14b0d54cef9-6.mp3	2019-09-27	Поп
104936008	Way Down We Go	Kaleo	Way down We Go	48691	https://cdns-preview-4.dzcdn.net/stream/c-4d5cff9690fa1385d489d21fa5fcab75-6.mp3	2015-08-07	Альтернативная музыка
1200359872	Your Love (9PM)	ATB	Your Love (9PM)	749	https://cdns-preview-c.dzcdn.net/stream/c-c05bdc739080e4b89a91322b1c263846-4.mp3	2021-01-15	Танцевальная музыка
677232	Numb	Linkin Park	Meteora (Bonus Edition)	209772	https://cdns-preview-1.dzcdn.net/stream/c-1cdfe90120447061efa70135a552152c-12.mp3	2003-03-24	Альтернативная музыка
852655742	Луна не знает пути	Тайпан	Луна не знает пути	912	https://cdns-preview-2.dzcdn.net/stream/c-2cf3d3e2ca3c0a254543c364d6e431ba-6.mp3	2020-01-14	Поп
458840332	Выхода нет	Сплин	Гранатовый альбом	807	https://cdns-preview-b.dzcdn.net/stream/c-b4e658d7a66795e686ba2dc8860aca33-4.mp3	2018-02-07	Рок
1028256512	Mood (feat. iann dior)	24kgoldn	Mood (feat. iann dior)	9845	https://cdns-preview-8.dzcdn.net/stream/c-8d36725c4db05a32d351b934ca529818-4.mp3	2020-07-24	Rap/Hip Hop
886766742	ily (i love you baby)	Surf Mesa	ily (i love you baby)	13398	https://cdns-preview-1.dzcdn.net/stream/c-10cae8a14da8c4bf7410cb3967685759-6.mp3	2020-02-25	Танцевальная музыка
1222078302	Аквадискотека	Александр Гудков	Аквадискотека	17	https://cdns-preview-d.dzcdn.net/stream/c-de211109b894e799f218f4b13b04e9c1-4.mp3	2021-01-25	Поп
2114406	Nothing Else Matters	Metallica	Metallica	188734	https://cdns-preview-b.dzcdn.net/stream/c-bd4c3e7cd1a7ed330ffe5e212af5815e-6.mp3	2008-08-18	Поп
1190819312	Cristal & МОЁТ	Morgenshtern	Cristal & МОЁТ	577	https://cdns-preview-1.dzcdn.net/stream/c-19398d9e48d5a89eb250f04dd2a3a48e-3.mp3	2020-12-28	Rap/Hip Hop
61638497	She's The Sun	Scooter	Sheffield	1036	https://cdns-preview-6.dzcdn.net/stream/c-65feb9c9c8de0226921b2f5e420d081c-2.mp3	2000-06-26	Электронная музыка
990604232	GIRL LIKE ME	Black Eyed Peas	TRANSLATION	74246	https://cdns-preview-f.dzcdn.net/stream/c-f504fc4c6dc19095b651e72fef699674-3.mp3	2020-11-02	Поп
827958002	Salt	Ava Max	Salt	5804	https://cdns-preview-f.dzcdn.net/stream/c-f6c0f1b49a12c983a88ae04819169a39-5.mp3	2019-12-12	Поп
921104532	MAMACITA	Black Eyed Peas	MAMACITA	9666	https://cdns-preview-6.dzcdn.net/stream/c-6f4d9f2e58dfb7430b43120be90ee4e3-5.mp3	2020-04-10	Поп
1063957682	Dynamite	BTS	Dynamite (DayTime Version)	27220	https://cdns-preview-1.dzcdn.net/stream/c-1788c4b527cc1e76ef671e0b77d1d2c9-7.mp3	2020-08-28	Азиатская музыка
1092293262	Seven Nation Army	The White Stripes	Elephant	2213	https://cdns-preview-3.dzcdn.net/stream/c-38a2a61fb4bcae9062c224704c3dd3aa-3.mp3	2003-04-01	Альтернативная музыка
664107	Take on Me	a-ha	Hunting High and Low	27584	https://cdns-preview-e.dzcdn.net/stream/c-e817b793ead610762756f4f3a48dfcd9-13.mp3	1985-06-12	Поп
